symbol
AAPL
MSFT
GOOGL
GOOG
AMZN
NVDA
META
TSLA
AVGO
COST
NFLX
AMD
ADBE
PEP
CSCO
INTC
CMCSA
TMUS
INTU
TXN
QCOM
AMGN
AMAT
ISRG
HON
SBUX
BKNG
VRTX
GILD
ADI
MDLZ
ADP
REGN
LRCX
PANW
KLAC
SNPS
CDNS
MELI
ASML
ABNB
PYPL
MAR
ORLY
MRVL
CTAS
CHTR
CRWD
MNST
WDAY
PCAR
NXPI
ADSK
ROST
MCHP
CPRT
DXCM
IDXX
KDP
LULU
AZN
FTNT
ODFL
PAYX
KHC
CEG
BIIB
FAST
GFS
CSGP
EA
ON
TTD
CDW
VRSK
BKR
ALGN
FANG
TEAM
ZS
DDOG
ANSS
WBD
CTSH
GEHC
ILMN
EXC
WBA
XEL
SIRI
LCID
RIVN
SOFI
PLTR
COIN
ROKU
HOOD
