AAPL
ABG
ABNB
ABUS
ACAD
ACIA
ACLS
ACLX
ADBE
ADI
ADP
ADSK
AEHR
AFRM
AGIO
AGTC
AHCO
AKAM
AKRO
ALGM
ALGN
ALKT
ALLK
ALNY
ALTR
AMAT
AMBA
AMD
AMED
AMGN
AMN
AMWL
AMZN
AN
ANIK
ANNX
ANSS
AOSL
API
APP
APPF
APPS
ARCO
ARQT
ARWR
ASAN
ASGN
ASML
ATAI
ATOS
ATXS
AURA
AUTH
AVGO
AXNX
AXTI
AYX
AZN
BCRX
BEAM
BFAM
BFLY
BIIB
BILL
BIO
BITF
BJRI
BKNG
BKR
BLMN
BMRN
BNTX
BOX
BROS
BRZE
BSY
BTAI
BTBT
CAKE
CAMT
CAN
CARG
CARS
CASY
CDNS
CDW
CDXS
CEG
CERE
CERN
CERT
CFLT
CGNX
CHTR
CHUY
CHWY
CIEN
CLFD
CLOV
CLSK
CMCSA
CMPS
COIN
COST
COUP
COUR
CPRT
CPRX
CRBU
CRSP
CRUS
CRWD
CSCO
CSGP
CTAS
CTSH
CVNA
CYBR
DASH
DAWN
DDOG
DIN
DIOD
DKNG
DNA
DNUT
DOCN
DOCS
DOCU
DOMO
DORM
DRCT
DRI
DT
DUOL
DV
DVA
DXCM
EA
EAT
EDIT
ENPH
ENSG
ENTA
ENTG
EPAM
ESTC
EVBG
EXAS
EXC
EXEL
EXLS
EXPI
FANG
FAST
FEYE
FFIV
FICO
FIVE
FIVN
FOLD
FORM
FRPT
FSLR
FSLY
FTNT
FTRE
FWRG
GALT
GDRX
GEHC
GENI
GFS
GH
GHRS
GILD
GLOB
GOOG
GOOGL
GPI
GSIT
GTLB
GWRE
HALO
HCAT
HIMS
HIMX
HOLX
HON
HOOD
HQY
HRMY
HSTM
HUBS
HUT
HZNP
ICHR
ICPT
IDXX
ILMN
INCY
INDI
INFN
INMD
INTC
INTU
IONS
IOT
IOVA
IRTC
IRTX
IRWD
ISEE
ISRG
JACK
JAZZ
KDP
KHC
KLAC
KPTI
KRTX
KRYS
KURA
KYMR
LAD
LCID
LITE
LMND
LNTH
LOCO
LRCX
LSCC
LULU
LYFT
MACOM
MANH
MAR
MARA
MASI
MAXN
MCHP
MDB
MDGL
MDLZ
MDRX
MEDP
MELI
META
MGNI
MGNX
MGTA
MKSI
MNDY
MNST
MODN
MPWR
MRNA
MRUS
MRVL
MSFT
MSTR
MTSI
MTTR
MYGN
NBIX
NCNO
NEO
NET
NEWR
NFLX
NLOK
NOVA
NTAP
NTCT
NTLA
NTNX
NTRA
NUVB
NVAX
NVDA
NVRO
NXPI
ODFL
OFIX
OGN
OKTA
OLED
OLLI
OLO
OMCL
ON
ONEM
ONON
ONTO
OPCH
OPEN
ORLY
PAAS
PACB
PAG
PANW
PATH
PAYC
PAYX
PCAR
PCTY
PCVX
PD
PDCO
PDFS
PENN
PEP
PETQ
PHR
PHYS
PINC
PING
PINS
PIRS
PLAY
PLMR
PLTR
PLUG
PODD
POOL
POWI
PRFT
PRGO
PRME
PRVA
PSTG
PSTX
PTLO
PUBM
PURE
PYPL
PZZA
QCOM
QDEL
QGEN
QLYS
QRVO
QTRX
QTWO
RARE
RBLX
RDFN
REGN
RGLS
RH
RIOT
RIVN
RLAY
RMBS
RNG
ROKU
ROOT
ROST
RPD
RVBD
RVLV
RVMD
RXRX
SAH
SAIL
SAVA
SBUX
SCPH
SDGR
SEDG
SEM
SGEN
SGH
SHAK
SHC
SIMO
SIRI
SITM
SKLZ
SLAB
SLGC
SMAR
SMMT
SMTC
SNAP
SNOW
SNPS
SOFI
SOS
SPLK
SPSC
SPWR
SQ
SRAD
SRPT
SRRK
STOK
STRO
SUMO
SWI
SWKS
SWTX
symbol
SYNA
TEAM
TECH
TENB
TGTX
TLND
TMUS
TNDM
TNET
TOST
TSLA
TTD
TWLO
TWST
TXG
TXN
TXRH
TYL
UBER
UCTT
ULTA
UPST
USPH
UTHR
VCEL
VCNX
VCYT
VECO
VEEV
VERV
VIAV
VKTX
VNET
VRM
VRNS
VRSK
VRTV
VRTX
VSH
WBA
WBD
WDAY
WEN
WING
WOLF
WOOF
WSM
XEL
XERS
XFOR
XRAY
YETI
YEXT
YMAB
ZBRA
ZM
ZS
