symbol
AAL
AAPL
ABG
ABNB
ABUS
ACAD
ACIA
ACLS
ACLX
ADBE
ADI
ADP
ADSK
AEHR
AFRM
AGIO
AGTC
AHCO
AKAM
AKRO
ALGM
ALGN
ALGT
ALK
ALKT
ALLK
ALNY
ALTR
AMAT
AMBA
AMD
AMED
AMGN
AMN
AMWL
AMZN
AN
ANIK
ANNX
ANSS
AOSL
APA
API
APP
APPF
APPS
AR
ARCO
ARQT
ARRY
ARVL
ARWR
ASAN
ASGN
ASML
ATAI
ATOS
ATXS
AURA
AUTH
AVGO
AXNX
AXTI
AYX
AZN
BCRX
BEAM
BFAM
BFLY
BIIB
BILL
BIO
BITF
BJRI
BKNG
BKR
BLMN
BLNK
BMRN
BNTX
BOX
BP
BROS
BRZE
BSY
BTAI
BTBT
BYDDF
CAKE
CAMT
CAN
CARG
CARS
CASY
CBRL
CDNS
CDW
CDXS
CEG
CERE
CERN
CERT
CFLT
CGNX
CHK
CHPT
CHRD
CHTR
CHUY
CHWY
CIEN
CLF
CLFD
CLOV
CLSK
CLX
CMCSA
CMPS
CNC
COIN
COP
COST
COUP
COUR
CPRT
CPRX
CQP
CRBU
CRSP
CRUS
CRWD
CSCO
CSGP
CSIQ
CTAS
CTRA
CTSH
CVE
CVNA
CVX
CYBR
DAL
DASH
DAWN
DCFC
DDOG
DIN
DIOD
DKNG
DNA
DNUT
DOCN
DOCS
DOCU
DOMO
DORM
DQ
DRCT
DRI
DT
DUOL
DV
DVA
DVN
DXCM
EA
EAT
EDIT
EMN
ENPH
ENSG
ENTA
ENTG
EOG
EPAM
EQNR
EQT
ERIC
ESTC
EVBG
EVGO
EXAS
EXC
EXEL
EXLS
EXPI
FANG
FAST
FEYE
FFIE
FFIV
FICO
FIVE
FIVN
FMC
FOLD
FORM
FREY
FRPT
FSLR
FSLY
FSR
FTNT
FTRE
FWRG
GALT
GDRX
GEHC
GENI
GFS
GH
GHRS
GILD
GLOB
GNRC
GOEV
GOOG
GOOGL
GPI
GPOR
GSIT
GTLB
GWRE
HA
HAL
HALO
HCAT
HES
HIMS
HIMX
HOLX
HON
HOOD
HPE
HQY
HRMY
HSTM
HUBS
HUN
HUT
HYZN
HZNP
ICHR
ICPT
IDXX
ILMN
INCY
INDI
INFN
INMD
INTC
INTU
IONS
IOT
IOVA
IPG
IRTC
IRTX
IRWD
ISEE
ISRG
JACK
JAZZ
JBHT
JBL
JBLU
JBSS
JKS
KDP
KEY
KHC
KIM
KLAC
KPTI
KRTX
KRYS
KURA
KYMR
LAD
LCID
LEA
LEN
LI
LITE
LMND
LNC
LNG
LNT
LNTH
LNW
LOCO
LPLA
LRCX
LSCC
LULU
LUV
LVS
LYFT
MACOM
MANH
MAR
MARA
MAS
MASI
MAXN
MCHP
MDB
MDGL
MDLZ
MDRX
MEDP
MELI
MESA
MET
META
MGM
MGNI
MGNX
MGTA
MHK
MKSI
MNDY
MNST
MODN
MOS
MPC
MPWR
MRNA
MRO
MRUS
MRVL
MSFT
MSTR
MTDR
MTSI
MTTR
MULN
MVST
MYGN
NBIX
NCNO
NEO
NET
NEWR
NEXT
NFLX
NIO
NKLA
NLOK
NOVA
NRG
NTAP
NTCT
NTLA
NTNX
NTRA
NUVB
NVAX
NVDA
NVRO
NWL
NXPI
ODFL
OFIX
OGE
OGN
OKTA
OLED
OLLI
OLO
OMCL
ON
ONEM
ONON
ONTO
OPCH
OPEN
ORLY
OXY
PAAS
PACB
PAG
PANW
PATH
PAYC
PAYX
PBF
PCAR
PCTY
PCVX
PD
PDCE
PDCO
PDFS
PENN
PEP
PETQ
PFE
PHG
PHR
PHYS
PINC
PING
PINS
PIRS
PLAY
PLMR
PLTR
PLUG
PNR
PODD
POOL
POWI
PRFT
PRGO
PRME
PRVA
PSNY
PSTG
PSTX
PSX
PTLO
PTRA
PUBM
PURE
PYPL
PZZA
QCOM
QDEL
QGEN
QLYS
QRVO
QS
QTRX
QTWO
RARE
RBLX
RDFN
RE
REE
REG
REGN
RGLS
RH
RIOT
RIVN
RJF
RL
RLAY
RMBS
RNG
ROKU
ROL
ROOT
ROST
RPD
RRC
RUN
RVBD
RVLV
RVMD
RXRX
SAH
SAIL
SAVA
SAVE
SBNY
SBOW
SBUX
SCPH
SDGR
SEDG
SEE
SEM
SES
SGEN
SGH
SHAK
SHC
SHEL
SHLS
SIMO
SIRI
SITM
SJM
SKLZ
SKYW
SLAB
SLB
SLGC
SM
SMAR
SMMT
SMTC
SNA
SNAP
SNOW
SNPS
SNY
SOFI
SOL
SOS
SPLK
SPSC
SPWR
SQ
SRAD
SRPT
SRRK
STEM
STOK
STRO
STX
STZ
SUMO
SUN
SWI
SWKS
SWN
SWTX
SYMBOL
SYNA
TAP
TEAM
TECH
TECK
TELL
TENB
TER
TGTX
TIF
TLND
TME
TMUS
TNDM
TNET
TOL
TOST
TPR
TROW
TRV
TSLA
TSN
TT
TTD
TTE
TWLO
TWST
TXG
TXN
TXRH
TXT
TYL
UAL
UBER
UCTT
UDR
UGI
ULCC
ULTA
UNM
UPST
URI
USPH
UTHR
VCEL
VCNX
VCYT
VECO
VEEV
VERV
VFC
VFS
VIAV
VKTX
VLCN
VLO
VMC
VNET
VRM
VRNS
VRSK
VRTV
VRTX
VSH
VTLE
WBA
WBD
WCN
WDAY
WEN
WERN
WHR
WING
WKHS
WMB
WOLF
WOOF
WSM
WY
XEC
XEL
XERS
XFOR
XOM
XPEV
XRAY
XRX
YETI
YEXT
YMAB
ZBRA
ZION
ZM
ZS
ZTO
