score_policy,trend_score_mode,min_pattern_score,top_k_per_day,windows_total,windows_passing,pass_rate,mean_test_score,median_test_score,mean_test_return_pct,median_test_return_pct,mean_test_max_dd_pct,median_test_max_dd_pct,mean_test_trade_count,mean_test_exposure_days
RAW,BELOW_MA200,40,3,3,0,0.0,,,-1.4,-1.4,-1.88,-1.88,10.0,92.0
INVERT,ABOVE_MA200,40,2,3,0,0.0,,,-0.91,-0.91,-2.09,-2.09,12.0,81.0
INVERT,BELOW_MA200,0,5,3,0,0.0,,,4.5,4.5,-0.86,-0.86,13.0,72.0
