variant,total_return_pct,max_drawdown_pct,trades,recycling_events,avg_swap_edge_r,false_recycle_rate
OFF,2.17,-6.81,61,0,0.0,0.0
PARTIAL,2.17,-6.81,61,0,0.0,0.0
EXIT,2.17,-6.81,61,0,0.0,0.0
