feature,corr_to_r,corr_to_win,mean_r,n,quintile_1_mean_r,quintile_1_win_rate,quintile_1_n,quintile_2_mean_r,quintile_2_win_rate,quintile_2_n,quintile_3_mean_r,quintile_3_win_rate,quintile_3_n,quintile_4_mean_r,quintile_4_win_rate,quintile_4_n,quintile_5_mean_r,quintile_5_win_rate,quintile_5_n
symmetry,0.1499,0.0289,0.0425,149,0.0078,64.0,89,-0.033,60.0,10,0.0844,66.7,18,0.0656,66.7,9,0.1678,69.6,23
neckline,0.0127,-0.0456,0.0425,149,0.0165,64.5,93,0.1069,75.0,16,0.248,73.3,15,-0.03,66.7,6,-0.0237,52.6,19
separation,-0.069,-0.0589,0.0425,149,0.0379,65.9,91,0.1955,75.0,20,0.0437,56.2,16,-0.0736,63.6,11,-0.0836,54.5,11
breakout,0.0526,0.0247,0.0425,149,0.0167,65.1,83,0.2771,71.4,7,0.0429,58.1,31,0.013,60.0,10,0.0856,77.8,18
volume,-0.0374,-0.0124,0.0425,149,0.0351,64.8,105,-0.0763,50.0,8,0.2936,81.8,11,0.14,66.7,9,-0.0775,62.5,16
trend,0.0886,0.0108,0.0425,149,0.0137,64.6,82,,,0,,,0,,,0,0.0778,65.7,67
