min_score,trade_count,win_rate,avg_r,profit_factor,total_pnl
0,151,65.6,0.043,1.63,5438.29
50,97,67.0,0.053,2.06,5021.33
60,35,51.4,-0.115,0.34,-2147.98
70,11,36.4,-0.174,0.1,-1656.9
80,6,50.0,-0.005,0.26,-469.54
