symbol,pass_liquidity,price_last,avg_dollar_vol_20,reason
AAPL,True,273.3999938964844,12061551871.64795,passed
MSFT,True,487.7099914550781,11366774794.70108,passed
GOOGL,True,313.510009765625,10156736574.115753,passed
AMZN,True,232.52000427246094,8479366466.506958,passed
META,True,663.2899780273438,10520035766.672668,passed
NVDA,True,190.52999877929688,30855327276.75643,passed
TSLA,True,475.19000244140625,34719337350.279236,passed
NFLX,True,94.47000122070312,4699176621.237373,passed
AMD,True,214.99000549316406,6044169679.610596,passed
INTC,True,36.20000076293945,3104498895.4092216,passed
CRM,True,266.0799865722656,2198297633.0166626,passed
ADBE,True,353.79998779296875,1544898458.219452,passed
PYPL,True,59.970001220703125,924391353.4415817,passed
CSCO,True,78.16000366210938,1514138310.1742172,passed
QCOM,True,174.80999755859375,1374344284.173584,passed
TXN,True,176.8800048828125,1181602989.925232,passed
AVGO,True,352.1300048828125,15074003831.52298,passed
INTU,True,676.5499877929688,1177203128.80188,passed
AMAT,True,261.8999938964844,1747116675.9472656,passed
MU,True,284.7900085449219,6579427528.0911255,passed
