symbol,pattern_id,entry_kind,entry_date,entry_price,stop_loss,original_stop_loss,take_profit,shares,exit_date,exit_price,exit_reason,pnl_dollars,pnl_r_multiple,hold_days,bars_held,mfe_r,slippage_bps,commissions,partial_tp_done,pattern_score,score_symmetry,score_neckline,score_separation,score_breakout,score_volume,score_trend,meta_json
NVDA,NVDA_20250430_CONFIRMED,CONFIRMED,2025-05-13 00:00:00-04:00,125.02,125.02,101.98,141.33,45,2025-05-29 00:00:00-04:00,142.15,TARGET,769.0,0.74,16,11,0.8,5.0,2.0,False,52.45,0.8372,0.9743,0.4667,0.2815,0.0,0.5,"{""avg_bottom"": 104.4, ""height"": 18.47, ""separation_days"": 35, ""pattern_score"": 52.45, ""score_features"": {""symmetry"": 0.8372, ""neckline"": 0.9743, ""separation"": 0.4667, ""breakout_strength"": 0.2815, ""volume"": 0, ""trend_context"": 0.5}, ""pattern_status"": ""CONFIRMED"", ""neckline_rise_pct"": 0.1769}"
GOOGL,GOOGL_20250507_CONFIRMED,CONFIRMED,2025-05-19 00:00:00-04:00,164.14,164.14,144.48,182.45,53,2025-06-23 00:00:00-04:00,164.06,STOP,-6.35,-0.01,35,23,0.85,5.0,2.0,False,33.39,0.5263,0.4406,0.3467,0.153,0.0778,0.5,"{""avg_bottom"": 148.84, ""height"": 16.8, ""separation_days"": 26, ""pattern_score"": 33.39, ""score_features"": {""symmetry"": 0.5263, ""neckline"": 0.4406, ""separation"": 0.3467, ""breakout_strength"": 0.153, ""volume"": 0.0778, ""trend_context"": 0.5}, ""pattern_status"": ""CONFIRMED"", ""neckline_rise_pct"": 0.1129}"
META,META_20250523_CONFIRMED,CONFIRMED,2025-06-09 00:00:00-04:00,697.23,697.23,608.82,742.43,11,2025-06-30 00:00:00-04:00,743.07,TARGET,502.21,0.52,21,14,0.56,5.0,2.0,False,33.55,0.2625,0.2394,0.8267,0.0737,0.0,1.0,"{""avg_bottom"": 630.54, ""height"": 55.94, ""separation_days"": 62, ""pattern_score"": 33.55, ""score_features"": {""symmetry"": 0.2625, ""neckline"": 0.2394, ""separation"": 0.8267, ""breakout_strength"": 0.0737, ""volume"": 0, ""trend_context"": 1.0}, ""pattern_status"": ""CONFIRMED"", ""neckline_rise_pct"": 0.0887}"
MU,MU_20250523_CONFIRMED,CONFIRMED,2025-06-10 00:00:00-04:00,111.41,111.41,88.97,129.01,47,2025-06-26 00:00:00-04:00,129.26,TARGET,837.02,0.79,16,11,0.81,5.0,2.0,False,59.33,0.5038,1.0,0.7867,0.4383,0.0441,1.0,"{""avg_bottom"": 91.7, ""height"": 18.65, ""separation_days"": 91, ""pattern_score"": 59.33, ""score_features"": {""symmetry"": 0.5038, ""neckline"": 1, ""separation"": 0.7867, ""breakout_strength"": 0.4383, ""volume"": 0.0441, ""trend_context"": 1.0}, ""pattern_status"": ""CONFIRMED"", ""neckline_rise_pct"": 0.2034}"
INTC,INTC_20250530_FORMING,FORMING,2025-06-25 00:00:00-04:00,22.59,18.92,18.92,35.69,174,2025-07-24 00:00:00-04:00,23.48,NO_PROGRESS,152.33,0.24,29,20,0.39,5.0,2.0,False,52.35,0.7424,1.0,0.0,0.5,0.0,1.0,"{""avg_bottom"": 19.41, ""height"": 8.14, ""separation_days"": 188, ""pattern_score"": 52.35, ""score_features"": {""symmetry"": 0.7424, ""neckline"": 1, ""separation"": 0, ""breakout_strength"": 0.5, ""volume"": 0, ""trend_context"": 1.0}, ""pattern_status"": ""FORMING"", ""neckline_rise_pct"": 0.4194}"
AMAT,AMAT_20250620_CONFIRMED,CONFIRMED,2025-07-03 00:00:00-04:00,188.53,161.81,161.81,202.47,39,2025-08-15 00:00:00-04:00,161.73,STOP,-1047.38,-1.0,43,30,0.43,5.0,2.0,False,58.66,0.5186,0.3938,0.68,1.0,0.2605,1.0,"{""avg_bottom"": 166.71, ""height"": 17.88, ""separation_days"": 99, ""pattern_score"": 58.66, ""score_features"": {""symmetry"": 0.5186, ""neckline"": 0.3938, ""separation"": 0.68, ""breakout_strength"": 1.0, ""volume"": 0.2605, ""trend_context"": 1.0}, ""pattern_status"": ""CONFIRMED"", ""neckline_rise_pct"": 0.1073}"
PYPL,PYPL_20250618_CONFIRMED,CONFIRMED,2025-07-03 00:00:00-04:00,76.57,64.87,64.87,83.49,91,2025-11-07 00:00:00-05:00,64.84,STOP,-1069.77,-1.0,127,89,0.23,5.0,2.0,False,50.54,0.562,0.542,0.9867,0.5777,0.0,0.5,"{""avg_bottom"": 66.78, ""height"": 8.36, ""separation_days"": 74, ""pattern_score"": 50.54, ""score_features"": {""symmetry"": 0.562, ""neckline"": 0.542, ""separation"": 0.9867, ""breakout_strength"": 0.5777, ""volume"": 0, ""trend_context"": 0.5}, ""pattern_status"": ""CONFIRMED"", ""neckline_rise_pct"": 0.125}"
GOOGL,GOOGL_20250709_FORMING,FORMING,2025-07-28 00:00:00-04:00,193.45,163.82,163.82,242.65,21,2025-08-25 00:00:00-04:00,206.01,NO_PROGRESS,261.77,0.42,28,20,0.5,5.0,2.0,False,41.78,0.2139,1.0,0.0,0.5,0.0,1.0,"{""avg_bottom"": 169.83, ""height"": 36.41, ""separation_days"": 167, ""pattern_score"": 41.78, ""score_features"": {""symmetry"": 0.2139, ""neckline"": 1, ""separation"": 0, ""breakout_strength"": 0.5, ""volume"": 0, ""trend_context"": 1.0}, ""pattern_status"": ""FORMING"", ""neckline_rise_pct"": 0.2144}"
AMD,AMD_20250722_CONFIRMED,CONFIRMED,2025-07-29 00:00:00-04:00,175.3,146.35,146.35,185.09,37,2025-08-13 00:00:00-04:00,185.0,TARGET,356.89,0.33,15,11,0.39,5.0,2.0,False,57.07,0.8032,0.4771,0.0,0.9029,0.3958,1.0,"{""avg_bottom"": 149.93, ""height"": 17.58, ""separation_days"": 184, ""pattern_score"": 57.07, ""score_features"": {""symmetry"": 0.8032, ""neckline"": 0.4771, ""separation"": 0, ""breakout_strength"": 0.9029, ""volume"": 0.3958, ""trend_context"": 1.0}, ""pattern_status"": ""CONFIRMED"", ""neckline_rise_pct"": 0.1173}"
META,META_20250730_CONFIRMED,CONFIRMED,2025-08-01 00:00:00-04:00,759.98,664.11,664.11,809.66,11,2025-10-30 00:00:00-04:00,663.78,STOP,-1060.19,-1.01,90,63,0.37,5.0,2.0,False,52.14,0.5427,0.266,0.36,0.0378,1.0,1.0,"{""avg_bottom"": 683.92, ""height"": 62.87, ""separation_days"": 27, ""pattern_score"": 52.14, ""score_features"": {""symmetry"": 0.5427, ""neckline"": 0.266, ""separation"": 0.36, ""breakout_strength"": 0.0378, ""volume"": 1, ""trend_context"": 1.0}, ""pattern_status"": ""CONFIRMED"", ""neckline_rise_pct"": 0.0919}"
TXN,TXN_20250801_FORMING,FORMING,2025-08-20 00:00:00-04:00,195.85,172.82,172.82,259.34,27,2025-09-15 00:00:00-04:00,172.73,STOP,-626.16,-1.01,26,17,0.49,5.0,2.0,False,71.42,0.8262,1.0,0.0,0.5,0.87,1.0,"{""avg_bottom"": 176.97, ""height"": 41.19, ""separation_days"": 151, ""pattern_score"": 71.42, ""score_features"": {""symmetry"": 0.8262, ""neckline"": 1, ""separation"": 0, ""breakout_strength"": 0.5, ""volume"": 0.87, ""trend_context"": 1.0}, ""pattern_status"": ""FORMING"", ""neckline_rise_pct"": 0.2327}"
GOOGL,GOOGL_20250801_FORMING,FORMING,2025-08-26 00:00:00-04:00,207.29,183.78,183.78,223.75,27,2025-09-03 00:00:00-04:00,225.75,TARGET,496.27,0.78,8,5,1.01,5.0,2.0,False,40.98,0.6808,0.2732,0.2933,0.5,0.0,1.0,"{""avg_bottom"": 188.73, ""height"": 17.51, ""separation_days"": 128, ""pattern_score"": 40.98, ""score_features"": {""symmetry"": 0.6808, ""neckline"": 0.2732, ""separation"": 0.2933, ""breakout_strength"": 0.5, ""volume"": 0, ""trend_context"": 1.0}, ""pattern_status"": ""FORMING"", ""neckline_rise_pct"": 0.0928}"
TSLA,TSLA_20250801_FORMING,FORMING,2025-08-27 00:00:00-04:00,352.12,291.86,291.86,673.56,10,2025-11-20 00:00:00-05:00,414.42,TIME,621.07,1.03,85,60,2.02,5.0,2.0,False,49.43,0.061,1.0,0.0,0.5,0.5354,1.0,"{""avg_bottom"": 303.52, ""height"": 185.02, ""separation_days"": 175, ""pattern_score"": 49.43, ""score_features"": {""symmetry"": 0.061, ""neckline"": 1, ""separation"": 0, ""breakout_strength"": 0.5, ""volume"": 0.5354, ""trend_context"": 1.0}, ""pattern_status"": ""FORMING"", ""neckline_rise_pct"": 0.6096}"
NFLX,NFLX_20250819_FORMING,FORMING,2025-09-05 00:00:00-04:00,126.06,115.28,115.28,149.78,58,2025-10-02 00:00:00-04:00,115.22,STOP,-630.76,-1.01,27,19,0.06,5.0,2.0,False,53.78,0.6518,0.6024,0.7467,0.5,0.0,1.0,"{""avg_bottom"": 118.45, ""height"": 15.66, ""separation_days"": 56, ""pattern_score"": 53.78, ""score_features"": {""symmetry"": 0.6518, ""neckline"": 0.6024, ""separation"": 0.7467, ""breakout_strength"": 0.5, ""volume"": 0, ""trend_context"": 1.0}, ""pattern_status"": ""FORMING"", ""neckline_rise_pct"": 0.1323}"
MU,MU_20250902_CONFIRMED,CONFIRMED,2025-09-08 00:00:00-04:00,130.53,130.53,111.9,141.01,56,2025-09-10 00:00:00-04:00,140.94,TARGET,580.73,0.56,2,2,0.62,5.0,2.0,False,56.46,0.2028,0.397,0.56,0.9392,0.5987,1.0,"{""avg_bottom"": 116.03, ""height"": 12.49, ""separation_days"": 42, ""pattern_score"": 56.46, ""score_features"": {""symmetry"": 0.2028, ""neckline"": 0.397, ""separation"": 0.56, ""breakout_strength"": 0.9392, ""volume"": 0.5987, ""trend_context"": 1.0}, ""pattern_status"": ""CONFIRMED"", ""neckline_rise_pct"": 0.1076}"
QCOM,QCOM_20250821_FORMING,FORMING,2025-09-17 00:00:00-04:00,163.92,145.84,145.84,196.13,35,2025-10-27 00:00:00-04:00,196.03,TARGET,1121.75,1.77,40,28,2.27,5.0,2.0,False,64.41,0.5687,0.7768,0.0,0.5,1.0,1.0,"{""avg_bottom"": 150.12, ""height"": 23.01, ""separation_days"": 186, ""pattern_score"": 64.41, ""score_features"": {""symmetry"": 0.5687, ""neckline"": 0.7768, ""separation"": 0, ""breakout_strength"": 0.5, ""volume"": 1, ""trend_context"": 1.0}, ""pattern_status"": ""FORMING"", ""neckline_rise_pct"": 0.1532}"
AAPL,AAPL_20250910_CONFIRMED,CONFIRMED,2025-09-23 00:00:00-04:00,255.76,221.22,221.22,271.09,31,2025-10-29 00:00:00-04:00,270.95,TARGET,469.03,0.44,36,26,0.45,5.0,2.0,False,62.43,0.6743,0.3047,0.0,1.0,0.8925,1.0,"{""avg_bottom"": 227.21, ""height"": 21.94, ""separation_days"": 165, ""pattern_score"": 62.43, ""score_features"": {""symmetry"": 0.6743, ""neckline"": 0.3047, ""separation"": 0, ""breakout_strength"": 1.0, ""volume"": 0.8925, ""trend_context"": 1.0}, ""pattern_status"": ""CONFIRMED"", ""neckline_rise_pct"": 0.0966}"
CSCO,CSCO_20250912_FORMING,FORMING,2025-10-07 00:00:00-04:00,68.95,64.42,64.42,78.3,141,2025-11-13 00:00:00-05:00,78.26,TARGET,1310.2,2.05,37,27,2.33,5.0,2.0,False,54.1,0.8521,0.2811,0.3867,0.5,0.4069,1.0,"{""avg_bottom"": 65.93, ""height"": 6.19, ""separation_days"": 29, ""pattern_score"": 54.1, ""score_features"": {""symmetry"": 0.8521, ""neckline"": 0.2811, ""separation"": 0.3867, ""breakout_strength"": 0.5, ""volume"": 0.4069, ""trend_context"": 1.0}, ""pattern_status"": ""FORMING"", ""neckline_rise_pct"": 0.0937}"
MSFT,MSFT_20251014_CONFIRMED,CONFIRMED,2025-10-28 00:00:00-04:00,549.25,481.62,481.62,561.82,16,2025-11-20 00:00:00-05:00,481.38,STOP,-1087.89,-1.01,23,17,0.0,5.0,2.0,False,24.17,0.3176,0.0317,0.36,0.0081,0.0829,1.0,"{""avg_bottom"": 498.25, ""height"": 31.79, ""separation_days"": 27, ""pattern_score"": 24.17, ""score_features"": {""symmetry"": 0.3176, ""neckline"": 0.0317, ""separation"": 0.36, ""breakout_strength"": 0.0081, ""volume"": 0.0829, ""trend_context"": 1.0}, ""pattern_status"": ""CONFIRMED"", ""neckline_rise_pct"": 0.0638}"
QCOM,QCOM_20251010_FORMING,FORMING,2025-10-28 00:00:00-04:00,183.09,148.38,148.38,195.12,18,2025-11-25 00:00:00-05:00,163.07,NO_PROGRESS,-362.21,-0.58,28,20,0.0,5.0,2.0,False,47.33,0.8092,0.6821,0.0,0.5,0.0,1.0,"{""avg_bottom"": 151.99, ""height"": 21.56, ""separation_days"": 187, ""pattern_score"": 47.33, ""score_features"": {""symmetry"": 0.8092, ""neckline"": 0.6821, ""separation"": 0, ""breakout_strength"": 0.5, ""volume"": 0, ""trend_context"": 1.0}, ""pattern_status"": ""FORMING"", ""neckline_rise_pct"": 0.1419}"
NVDA,NVDA_20251022_CONFIRMED,CONFIRMED,2025-10-29 00:00:00-04:00,208.07,167.45,167.45,217.41,26,2025-12-26 00:00:00-05:00,190.43,EOD,-460.58,-0.44,58,40,0.08,5.0,2.0,False,66.48,0.1542,0.5452,0.76,1.0,0.8046,1.0,"{""avg_bottom"": 173.81, ""height"": 21.8, ""separation_days"": 57, ""pattern_score"": 66.48, ""score_features"": {""symmetry"": 0.1542, ""neckline"": 0.5452, ""separation"": 0.76, ""breakout_strength"": 1.0, ""volume"": 0.8046, ""trend_context"": 1.0}, ""pattern_status"": ""CONFIRMED"", ""neckline_rise_pct"": 0.1254}"
AMZN,AMZN_20251017_CONFIRMED,CONFIRMED,2025-11-03 00:00:00-05:00,255.49,206.81,206.81,266.48,22,2025-12-26 00:00:00-05:00,232.4,EOD,-509.85,-0.48,53,37,0.03,5.0,2.0,False,77.36,0.9538,0.5901,0.7067,0.3918,1.0,1.0,"{""avg_bottom"": 211.22, ""height"": 27.63, ""separation_days"": 53, ""pattern_score"": 77.36, ""score_features"": {""symmetry"": 0.9538, ""neckline"": 0.5901, ""separation"": 0.7067, ""breakout_strength"": 0.3918, ""volume"": 1, ""trend_context"": 1.0}, ""pattern_status"": ""CONFIRMED"", ""neckline_rise_pct"": 0.1308}"
AVGO,AVGO_20251107_FORMING,FORMING,2025-11-25 00:00:00-05:00,384.39,327.93,327.93,435.86,11,2025-12-17 00:00:00-05:00,327.77,STOP,-624.83,-1.01,22,15,0.52,5.0,2.0,False,67.59,0.8503,0.7445,0.5733,0.5,0.4799,1.0,"{""avg_bottom"": 335.62, ""height"": 50.12, ""separation_days"": 43, ""pattern_score"": 67.59, ""score_features"": {""symmetry"": 0.8503, ""neckline"": 0.7445, ""separation"": 0.5733, ""breakout_strength"": 0.5, ""volume"": 0.4799, ""trend_context"": 1.0}, ""pattern_status"": ""FORMING"", ""neckline_rise_pct"": 0.1493}"
INTC,INTC_20251121_CONFIRMED,CONFIRMED,2025-12-03 00:00:00-05:00,43.41,32.23,32.23,52.0,94,2025-12-26 00:00:00-05:00,36.18,EOD,-681.6,-0.65,23,16,0.0,5.0,2.0,False,90.63,0.9014,1.0,0.5067,1.0,1.0,1.0,"{""avg_bottom"": 32.95, ""height"": 9.52, ""separation_days"": 38, ""pattern_score"": 90.63, ""score_features"": {""symmetry"": 0.9014, ""neckline"": 1, ""separation"": 0.5067, ""breakout_strength"": 1.0, ""volume"": 1, ""trend_context"": 1.0}, ""pattern_status"": ""CONFIRMED"", ""neckline_rise_pct"": 0.2892}"
TSLA,TSLA_20251107_FORMING,FORMING,2025-12-05 00:00:00-05:00,453.26,408.25,408.25,528.91,13,2025-12-26 00:00:00-05:00,474.95,EOD,280.05,0.48,21,14,1.01,5.0,2.0,False,58.75,0.6839,0.5901,0.3333,0.5,0.5385,1.0,"{""avg_bottom"": 419.23, ""height"": 54.84, ""separation_days"": 25, ""pattern_score"": 58.75, ""score_features"": {""symmetry"": 0.6839, ""neckline"": 0.5901, ""separation"": 0.3333, ""breakout_strength"": 0.5, ""volume"": 0.5385, ""trend_context"": 1.0}, ""pattern_status"": ""FORMING"", ""neckline_rise_pct"": 0.1308}"
ADBE,ADBE_20251107_FORMING,FORMING,2025-12-08 00:00:00-05:00,347.62,316.57,316.57,518.38,20,2025-12-26 00:00:00-05:00,353.62,EOD,117.99,0.19,18,13,0.49,5.0,2.0,False,57.83,0.3145,1.0,0.0133,0.5,0.9421,0.5,"{""avg_bottom"": 327.52, ""height"": 95.43, ""separation_days"": 149, ""pattern_score"": 57.83, ""score_features"": {""symmetry"": 0.3145, ""neckline"": 1, ""separation"": 0.0133, ""breakout_strength"": 0.5, ""volume"": 0.9421, ""trend_context"": 0.5}, ""pattern_status"": ""FORMING"", ""neckline_rise_pct"": 0.2914}"
MU,MU_20251217_CONFIRMED,CONFIRMED,2025-12-22 00:00:00-05:00,277.29,213.05,213.05,309.96,16,2025-12-26 00:00:00-05:00,284.65,EOD,115.74,0.11,4,3,0.21,5.0,2.0,False,81.23,0.5115,1.0,0.4,1.0,1.0,1.0,"{""avg_bottom"": 219.54, ""height"": 45.21, ""separation_days"": 30, ""pattern_score"": 81.23, ""score_features"": {""symmetry"": 0.5115, ""neckline"": 1, ""separation"": 0.4, ""breakout_strength"": 1.0, ""volume"": 1, ""trend_context"": 1.0}, ""pattern_status"": ""CONFIRMED"", ""neckline_rise_pct"": 0.2059}"
