symbol,pattern_id,entry_kind,entry_date,entry_price,stop_loss,original_stop_loss,take_profit,shares,exit_date,exit_price,exit_reason,pnl_dollars,pnl_r_multiple,hold_days,bars_held,mfe_r,slippage_bps,commissions,partial_tp_done,pattern_score,score_symmetry,score_neckline,score_separation,score_breakout,score_volume,score_trend,meta_json
TSLA,TSLA_20240906_CONFIRMED,CONFIRMED,2024-09-20 00:00:00-04:00,241.64,241.64,206.3,257.39,29,2024-09-26 00:00:00-04:00,260.47,TARGET,544.04,0.53,6,4,0.57,5.0,2.0,False,51.4,0.5061,0.3776,0.4133,1.0,0.3762,0.5,"{""avg_bottom"": 212.61, ""height"": 22.39, ""separation_days"": 31, ""pattern_score"": 51.4, ""score_features"": {""symmetry"": 0.5061, ""neckline"": 0.3776, ""separation"": 0.4133, ""breakout_strength"": 1.0, ""volume"": 0.3762, ""trend_context"": 0.5}, ""pattern_status"": ""CONFIRMED"", ""neckline_rise_pct"": 0.1053}"
META,META_20240911_CONFIRMED,CONFIRMED,2024-09-20 00:00:00-04:00,558.07,474.58,474.58,594.41,12,2024-10-04 00:00:00-04:00,594.11,TARGET,430.53,0.43,14,10,0.44,5.0,2.0,False,51.42,0.5447,0.4012,0.6533,0.5515,0.4716,0.5,"{""avg_bottom"": 488.72, ""height"": 52.84, ""separation_days"": 101, ""pattern_score"": 51.42, ""score_features"": {""symmetry"": 0.5447, ""neckline"": 0.4012, ""separation"": 0.6533, ""breakout_strength"": 0.5515, ""volume"": 0.4716, ""trend_context"": 0.5}, ""pattern_status"": ""CONFIRMED"", ""neckline_rise_pct"": 0.1081}"
AMZN,AMZN_20240906_FORMING,FORMING,2024-09-24 00:00:00-04:00,194.37,167.74,167.74,229.88,23,2024-10-22 00:00:00-04:00,188.26,NO_PROGRESS,-142.56,-0.23,28,20,0.01,5.0,2.0,False,68.96,0.6073,0.8859,0.8933,0.5,0.6601,0.5,"{""avg_bottom"": 172.51, ""height"": 28.68, ""separation_days"": 67, ""pattern_score"": 68.96, ""score_features"": {""symmetry"": 0.6073, ""neckline"": 0.8859, ""separation"": 0.8933, ""breakout_strength"": 0.5, ""volume"": 0.6601, ""trend_context"": 0.5}, ""pattern_status"": ""FORMING"", ""neckline_rise_pct"": 0.1663}"
INTC,INTC_20240910_CONFIRMED,CONFIRMED,2024-09-24 00:00:00-04:00,22.54,22.54,18.14,25.57,235,2024-11-07 00:00:00-05:00,25.56,TARGET,706.75,0.68,44,32,0.87,5.0,2.0,False,61.51,0.5582,1.0,0.2933,0.1932,0.9024,0.5,"{""avg_bottom"": 18.68, ""height"": 3.45, ""separation_days"": 22, ""pattern_score"": 61.51, ""score_features"": {""symmetry"": 0.5582, ""neckline"": 1, ""separation"": 0.2933, ""breakout_strength"": 0.1932, ""volume"": 0.9024, ""trend_context"": 0.5}, ""pattern_status"": ""CONFIRMED"", ""neckline_rise_pct"": 0.1842}"
NVDA,NVDA_20241002_CONFIRMED,CONFIRMED,2024-10-09 00:00:00-04:00,134.13,134.13,112.8,146.6,49,2024-11-07 00:00:00-05:00,146.53,TARGET,605.38,0.58,29,21,0.69,5.0,2.0,False,51.76,0.6956,0.6074,0.7067,0.673,0.0,0.5,"{""avg_bottom"": 115.81, ""height"": 15.4, ""separation_days"": 53, ""pattern_score"": 51.76, ""score_features"": {""symmetry"": 0.6956, ""neckline"": 0.6074, ""separation"": 0.7067, ""breakout_strength"": 0.673, ""volume"": 0, ""trend_context"": 0.5}, ""pattern_status"": ""CONFIRMED"", ""neckline_rise_pct"": 0.1329}"
AAPL,AAPL_20241007_CONFIRMED,CONFIRMED,2024-10-16 00:00:00-04:00,230.42,230.42,211.19,245.78,54,2024-12-09 00:00:00-05:00,245.66,TARGET,820.86,0.79,54,37,0.82,5.0,2.0,False,27.64,0.4731,0.0357,0.2667,0.0342,0.1477,1.0,"{""avg_bottom"": 217.79, ""height"": 13.99, ""separation_days"": 20, ""pattern_score"": 27.64, ""score_features"": {""symmetry"": 0.4731, ""neckline"": 0.0357, ""separation"": 0.2667, ""breakout_strength"": 0.0342, ""volume"": 0.1477, ""trend_context"": 1.0}, ""pattern_status"": ""CONFIRMED"", ""neckline_rise_pct"": 0.0643}"
NFLX,NFLX_20241017_CONFIRMED,CONFIRMED,2024-10-21 00:00:00-04:00,76.61,64.76,64.76,80.27,88,2024-11-11 00:00:00-05:00,80.23,TARGET,316.17,0.3,21,15,0.34,5.0,2.0,False,64.04,0.3613,0.3305,0.3467,1.0,1.0,1.0,"{""avg_bottom"": 66.93, ""height"": 6.67, ""separation_days"": 26, ""pattern_score"": 64.04, ""score_features"": {""symmetry"": 0.3613, ""neckline"": 0.3305, ""separation"": 0.3467, ""breakout_strength"": 1.0, ""volume"": 1, ""trend_context"": 1.0}, ""pattern_status"": ""CONFIRMED"", ""neckline_rise_pct"": 0.0997}"
TSLA,TSLA_20241003_FORMING,FORMING,2024-10-25 00:00:00-04:00,256.14,228.43,228.43,294.27,22,2024-11-07 00:00:00-05:00,294.12,TARGET,833.67,1.37,13,9,1.57,5.0,2.0,False,69.31,0.4988,0.5409,0.7733,0.5,0.9706,1.0,"{""avg_bottom"": 235.45, ""height"": 29.41, ""separation_days"": 58, ""pattern_score"": 69.31, ""score_features"": {""symmetry"": 0.4988, ""neckline"": 0.5409, ""separation"": 0.7733, ""breakout_strength"": 0.5, ""volume"": 0.9706, ""trend_context"": 1.0}, ""pattern_status"": ""FORMING"", ""neckline_rise_pct"": 0.1249}"
MSFT,MSFT_20241008_FORMING,FORMING,2024-10-30 00:00:00-04:00,433.59,392.02,392.02,524.12,15,2024-11-27 00:00:00-05:00,421.79,NO_PROGRESS,-179.0,-0.29,28,20,0.0,5.0,2.0,False,79.55,0.7296,0.7631,0.8133,0.5,1.0,1.0,"{""avg_bottom"": 402.2, ""height"": 60.96, ""separation_days"": 89, ""pattern_score"": 79.55, ""score_features"": {""symmetry"": 0.7296, ""neckline"": 0.7631, ""separation"": 0.8133, ""breakout_strength"": 0.5, ""volume"": 1, ""trend_context"": 1.0}, ""pattern_status"": ""FORMING"", ""neckline_rise_pct"": 0.1516}"
AMZN,AMZN_20241007_FORMING,FORMING,2024-10-30 00:00:00-04:00,194.8,176.65,176.65,221.66,34,2024-12-05 00:00:00-05:00,221.55,TARGET,907.56,1.47,36,25,1.51,5.0,2.0,False,58.28,0.8658,0.4433,0.9733,0.5,0.0,1.0,"{""avg_bottom"": 180.74, ""height"": 20.46, ""separation_days"": 77, ""pattern_score"": 58.28, ""score_features"": {""symmetry"": 0.8658, ""neckline"": 0.4433, ""separation"": 0.9733, ""breakout_strength"": 0.5, ""volume"": 0, ""trend_context"": 1.0}, ""pattern_status"": ""FORMING"", ""neckline_rise_pct"": 0.1132}"
MU,MU_20241023_FORMING,FORMING,2024-11-08 00:00:00-05:00,111.73,101.05,101.05,209.05,60,2024-11-13 00:00:00-05:00,101.0,STOP,-645.81,-1.01,5,3,0.0,5.0,2.0,False,72.29,0.5293,1.0,0.28,0.5,1.0,1.0,"{""avg_bottom"": 104.09, ""height"": 52.48, ""separation_days"": 129, ""pattern_score"": 72.29, ""score_features"": {""symmetry"": 0.5293, ""neckline"": 1, ""separation"": 0.28, ""breakout_strength"": 0.5, ""volume"": 1, ""trend_context"": 1.0}, ""pattern_status"": ""FORMING"", ""neckline_rise_pct"": 0.5042}"
PYPL,PYPL_20241101_CONFIRMED,CONFIRMED,2024-11-12 00:00:00-05:00,86.72,86.72,74.34,90.94,86,2024-12-09 00:00:00-05:00,91.99,TARGET,451.07,0.42,27,18,0.54,5.0,2.0,False,61.69,0.862,0.315,0.28,1.0,0.4474,1.0,"{""avg_bottom"": 76.07, ""height"": 7.43, ""separation_days"": 21, ""pattern_score"": 61.69, ""score_features"": {""symmetry"": 0.862, ""neckline"": 0.315, ""separation"": 0.28, ""breakout_strength"": 1.0, ""volume"": 0.4474, ""trend_context"": 1.0}, ""pattern_status"": ""CONFIRMED"", ""neckline_rise_pct"": 0.0978}"
MSFT,MSFT_20241104_FORMING,FORMING,2024-12-03 00:00:00-05:00,426.91,392.02,392.02,525.4,18,2025-02-27 00:00:00-05:00,391.82,STOP,-633.47,-1.01,86,57,0.74,5.0,2.0,False,79.56,0.889,0.7939,0.56,0.5,1.0,1.0,"{""avg_bottom"": 400.91, ""height"": 62.25, ""separation_days"": 108, ""pattern_score"": 79.56, ""score_features"": {""symmetry"": 0.889, ""neckline"": 0.7939, ""separation"": 0.56, ""breakout_strength"": 0.5, ""volume"": 1, ""trend_context"": 1.0}, ""pattern_status"": ""FORMING"", ""neckline_rise_pct"": 0.1553}"
META,META_20241121_CONFIRMED,CONFIRMED,2024-12-04 00:00:00-05:00,610.85,610.85,535.94,644.56,14,2025-01-24 00:00:00-05:00,644.24,TARGET,465.48,0.44,51,33,0.52,5.0,2.0,False,46.93,0.4386,0.1892,0.2667,1.0,0.2686,1.0,"{""avg_bottom"": 553.09, ""height"": 45.73, ""separation_days"": 20, ""pattern_score"": 46.93, ""score_features"": {""symmetry"": 0.4386, ""neckline"": 0.1892, ""separation"": 0.2667, ""breakout_strength"": 1.0, ""volume"": 0.2686, ""trend_context"": 1.0}, ""pattern_status"": ""CONFIRMED"", ""neckline_rise_pct"": 0.0827}"
ADBE,ADBE_20241203_CONFIRMED,CONFIRMED,2024-12-09 00:00:00-05:00,556.38,494.42,494.42,574.34,17,2024-12-12 00:00:00-05:00,487.26,STOP,-1177.07,-1.12,3,3,0.0,5.0,2.0,False,49.92,0.9021,0.0674,0.7067,0.5397,0.0918,1.0,"{""avg_bottom"": 505.5, ""height"": 34.42, ""separation_days"": 53, ""pattern_score"": 49.92, ""score_features"": {""symmetry"": 0.9021, ""neckline"": 0.0674, ""separation"": 0.7067, ""breakout_strength"": 0.5397, ""volume"": 0.0918, ""trend_context"": 1.0}, ""pattern_status"": ""CONFIRMED"", ""neckline_rise_pct"": 0.0681}"
GOOGL,GOOGL_20241121_FORMING,FORMING,2024-12-11 00:00:00-05:00,184.68,159.61,159.61,200.19,25,2024-12-17 00:00:00-05:00,200.09,TARGET,383.26,0.61,6,4,0.64,5.0,2.0,False,59.48,0.977,0.4522,0.8933,0.5,0.0,1.0,"{""avg_bottom"": 162.95, ""height"": 18.62, ""separation_days"": 83, ""pattern_score"": 59.48, ""score_features"": {""symmetry"": 0.977, ""neckline"": 0.4522, ""separation"": 0.8933, ""breakout_strength"": 0.5, ""volume"": 0, ""trend_context"": 1.0}, ""pattern_status"": ""FORMING"", ""neckline_rise_pct"": 0.1143}"
MU,MU_20241118_FORMING,FORMING,2024-12-17 00:00:00-05:00,109.35,93.23,93.23,130.87,40,2024-12-19 00:00:00-05:00,89.66,STOP,-789.51,-1.22,2,2,0.14,5.0,2.0,False,61.65,0.1501,0.9672,0.4533,0.5,1.0,0.5,"{""avg_bottom"": 96.78, ""height"": 17.05, ""separation_days"": 34, ""pattern_score"": 61.65, ""score_features"": {""symmetry"": 0.1501, ""neckline"": 0.9672, ""separation"": 0.4533, ""breakout_strength"": 0.5, ""volume"": 1, ""trend_context"": 0.5}, ""pattern_status"": ""FORMING"", ""neckline_rise_pct"": 0.1761}"
NVDA,NVDA_20241217_FORMING,FORMING,2025-01-06 00:00:00-05:00,148.62,124.29,124.29,177.91,26,2025-01-27 00:00:00-05:00,124.23,STOP,-636.29,-1.01,21,13,0.18,5.0,2.0,False,72.76,0.6341,1.0,0.5867,0.5,0.689,1.0,"{""avg_bottom"": 127.76, ""height"": 25.08, ""separation_days"": 44, ""pattern_score"": 72.76, ""score_features"": {""symmetry"": 0.6341, ""neckline"": 1, ""separation"": 0.5867, ""breakout_strength"": 0.5, ""volume"": 0.689, ""trend_context"": 1.0}, ""pattern_status"": ""FORMING"", ""neckline_rise_pct"": 0.1963}"
CSCO,CSCO_20241220_FORMING,FORMING,2025-01-16 00:00:00-05:00,59.1,53.83,53.83,62.05,121,2025-02-07 00:00:00-05:00,62.02,TARGET,351.63,0.55,22,15,0.57,5.0,2.0,False,33.83,0.5937,0.0026,0.2933,0.5,0.0,1.0,"{""avg_bottom"": 55.38, ""height"": 3.33, ""separation_days"": 22, ""pattern_score"": 33.83, ""score_features"": {""symmetry"": 0.5937, ""neckline"": 0.0026, ""separation"": 0.2933, ""breakout_strength"": 0.5, ""volume"": 0, ""trend_context"": 1.0}, ""pattern_status"": ""FORMING"", ""neckline_rise_pct"": 0.0603}"
AMAT,AMAT_20250113_CONFIRMED,CONFIRMED,2025-01-17 00:00:00-05:00,191.18,162.75,162.75,201.14,37,2025-02-27 00:00:00-05:00,162.67,STOP,-1057.02,-1.0,41,27,0.26,5.0,2.0,False,52.58,0.8469,0.3644,0.3867,0.122,0.786,0.5,"{""avg_bottom"": 166.58, ""height"": 17.28, ""separation_days"": 29, ""pattern_score"": 52.58, ""score_features"": {""symmetry"": 0.8469, ""neckline"": 0.3644, ""separation"": 0.3867, ""breakout_strength"": 0.122, ""volume"": 0.786, ""trend_context"": 0.5}, ""pattern_status"": ""CONFIRMED"", ""neckline_rise_pct"": 0.1037}"
NFLX,NFLX_20250114_CONFIRMED,CONFIRMED,2025-01-23 00:00:00-05:00,95.83,95.83,79.31,106.71,65,2025-02-25 00:00:00-05:00,95.78,STOP,-5.11,-0.0,33,22,0.64,5.0,2.0,False,71.8,0.5652,0.78,0.4933,0.5,1.0,1.0,"{""avg_bottom"": 81.64, ""height"": 12.53, ""separation_days"": 37, ""pattern_score"": 71.8, ""score_features"": {""symmetry"": 0.5652, ""neckline"": 0.78, ""separation"": 0.4933, ""breakout_strength"": 0.5, ""volume"": 1, ""trend_context"": 1.0}, ""pattern_status"": ""CONFIRMED"", ""neckline_rise_pct"": 0.1536}"
MU,MU_20250129_FORMING,FORMING,2025-02-18 00:00:00-05:00,102.4,82.77,82.77,142.4,32,2025-03-18 00:00:00-04:00,101.56,NO_PROGRESS,-28.88,-0.05,27,20,0.23,5.0,2.0,False,54.39,0.1132,1.0,0.3867,0.5,0.6911,0.5,"{""avg_bottom"": 85.99, ""height"": 28.21, ""separation_days"": 121, ""pattern_score"": 54.39, ""score_features"": {""symmetry"": 0.1132, ""neckline"": 1, ""separation"": 0.3867, ""breakout_strength"": 0.5, ""volume"": 0.6911, ""trend_context"": 0.5}, ""pattern_status"": ""FORMING"", ""neckline_rise_pct"": 0.3279}"
INTC,INTC_20250203_CONFIRMED,CONFIRMED,2025-02-19 00:00:00-05:00,25.99,18.4,18.4,34.05,140,2025-04-08 00:00:00-04:00,18.39,STOP,-1066.31,-1.0,47,34,0.05,5.0,2.0,False,89.21,0.9203,1.0,0.3867,1.0,1.0,1.0,"{""avg_bottom"": 18.81, ""height"": 7.62, ""separation_days"": 121, ""pattern_score"": 89.21, ""score_features"": {""symmetry"": 0.9203, ""neckline"": 1, ""separation"": 0.3867, ""breakout_strength"": 1.0, ""volume"": 1, ""trend_context"": 1.0}, ""pattern_status"": ""CONFIRMED"", ""neckline_rise_pct"": 0.4051}"
NFLX,NFLX_20250310_FORMING,FORMING,2025-03-26 00:00:00-04:00,99.43,83.74,83.74,127.23,40,2025-04-07 00:00:00-04:00,82.74,STOP,-669.48,-1.07,12,8,0.0,5.0,2.0,False,68.33,0.8716,1.0,0.8933,0.5,0.0,1.0,"{""avg_bottom"": 85.67, ""height"": 20.78, ""separation_days"": 67, ""pattern_score"": 68.33, ""score_features"": {""symmetry"": 0.8716, ""neckline"": 1, ""separation"": 0.8933, ""breakout_strength"": 0.5, ""volume"": 0, ""trend_context"": 1.0}, ""pattern_status"": ""FORMING"", ""neckline_rise_pct"": 0.2426}"
NFLX,NFLX_20250407_FORMING,FORMING,2025-04-25 00:00:00-04:00,109.76,80.47,80.47,130.67,12,2025-05-23 00:00:00-04:00,118.34,NO_PROGRESS,100.98,0.29,28,20,0.39,5.0,2.0,False,67.44,0.927,1.0,0.76,0.5,0.0,1.0,"{""avg_bottom"": 82.23, ""height"": 24.22, ""separation_days"": 57, ""pattern_score"": 67.44, ""score_features"": {""symmetry"": 0.927, ""neckline"": 1, ""separation"": 0.76, ""breakout_strength"": 0.5, ""volume"": 0, ""trend_context"": 1.0}, ""pattern_status"": ""FORMING"", ""neckline_rise_pct"": 0.2945}"
AVGO,AVGO_20250331_FORMING,FORMING,2025-04-25 00:00:00-04:00,185.9,151.0,151.0,341.04,10,2025-07-23 00:00:00-04:00,275.64,TIME,895.42,2.57,89,60,2.97,5.0,2.0,False,54.09,0.1107,1.0,0.0,0.5,0.719,1.0,"{""avg_bottom"": 156.87, ""height"": 92.09, ""separation_days"": 191, ""pattern_score"": 54.09, ""score_features"": {""symmetry"": 0.1107, ""neckline"": 1, ""separation"": 0, ""breakout_strength"": 0.5, ""volume"": 0.719, ""trend_context"": 1.0}, ""pattern_status"": ""FORMING"", ""neckline_rise_pct"": 0.587}"
TSLA,TSLA_20250331_FORMING,FORMING,2025-04-30 00:00:00-04:00,280.04,234.1,234.1,735.96,8,2025-07-28 00:00:00-04:00,318.29,TIME,304.01,0.83,89,60,1.91,5.0,2.0,False,58.41,0.5355,1.0,0.68,0.5,0.0,1.0,"{""avg_bottom"": 241.12, ""height"": 247.42, ""separation_days"": 99, ""pattern_score"": 58.41, ""score_features"": {""symmetry"": 0.5355, ""neckline"": 1, ""separation"": 0.68, ""breakout_strength"": 0.5, ""volume"": 0, ""trend_context"": 1.0}, ""pattern_status"": ""FORMING"", ""neckline_rise_pct"": 1.0261}"
